"Zhmak","Kirilenko"
"KHOKHLOV","RUSSIA"
"Alexander","Havas"
"COMPTON","USA"
"Brink","M' Orange"
"Pazur","Kwiecien"
"Drijver","Drijver"
"BALICKI","AVALANCHE"
"COLOEA.I","ROMANIA"
"Moss","USA 2"
"Tiwari","INDIA"
"PETROVA","Bulgaria"
"Farag","El Rabwa Club (A)"
"Kanavos","Zotos"
"Price","ENGLAND"
"Wu SX","Shang Hai QI Zhong"
"TRENDAFILO","TITAN"
"Rodwell","USA"
"Aviram","Israel"
"Jagger","Team 2"
"Pilch","Pacyfic"
"L.THUILLEZ","France"
"Smith","Hollman"
"Serim","TURKEY"
"ZIMMERMANN","ZIMMERMANN-ANGELINI"
"Francis","Paris Est"
"KLinstedt","Lindstedt"
"LANZAROTTI","ZALESKI"
"Bessis M.","Gaviard"
"Jacobs","Netherlands"
"Lee","GuangZhou"
"Tirayoh","Sulut Perjuangan"
"Fournier","USA BLUE"
"Verbeek","Lombard 2"
"A. Ting","Nan-Yuan"
"FILIP","Romania 1"
"Massaroli","ITALY"
"VECHIATTO","ALERTPLUS"
"Bessis","France"
"Ekeblad","Ekeblad"
"Sanborn","USA 2"
"Dupraz","Dupraz"
"Gruschow","Wellington"
"Nico S","Bank Mandiri Manado"
"Grosset","France U25"
"Bramley","Bramley"
"DELMONTE","Grue"
"SANGIORGIO","ITALY"
"Assemi","ASSEMI"
"ANDERSON","Northern Ireland"
"BATES","SULGROVE"
"AUKEN","POLAND"
"Chen Gang","SPG"
"Balicki","Zimmermann"
"PO'Briain","Republic of Ireland"
"Voldoire","France"
"CASTELLO B","Brasil"
"Gotard ","BAMBERGER"
"Li Xin","Shou Chuang Club"
"Causa","Genova"
"Fantoni","ZIMMERMANN"
"Basaran","Turkey"
"Dai JM","Shanghai SMEG"
"Leis","Estonia"
"Jill","Narasimhan"
"Labaere A","BCOB"
"DUFRAT","CONNECTOR"
"Judy Mott","NSW"
"Wurmseer","Germany"
"Nash","N Ire"
"M Green","Green"
"A Kaplan","UCCLE"
"MASSAROLI","ASS NAPOLI BR"
"Sartje","Bhinneka"
"CHUBAROVA","8-5-0-0"
"M Agus","KEPRI"
"Brede","NEFKA"
"BOREVKOVIC","CROATIA"
"Carcassonne V","BEL"
"Jacobus","Diamond"
"N.KALIGIS","NORTH SULAWESI"
"KAKU","Japan"
"Branco","Amaral"
"MILNER","USA1"
"ANGELOVA","Bulgaria"
"S. S. Bux","Shanghai Jia Hua"
"Lauria","Team 1"
"Suci A","Djarum 2"
"Subrata S","SHREE CEMENT"
"BILL","North Celebes"
"Stirbu","Romania"
"PACAREU Jo","CHILE"
"Cheek","O'Rourke"
"Jones","AWAY"
"Strul","Team 1"
"H. Wang","CHINA LADIES"
"Bavmann","Simon Gillis"
"KOLATA","Turkiye"
"Ivan Alpho","Kabra"
"Passell","Brachman"
"Kwiecien","Team 2"
"B Cronier","France"
"Khan","Pakistan"
"Wolpert","Henner-Welland"
"KARAIVANOV K","Bulgaria"
"N Senior","England"
"PHILIPPE P","EGYPT"
"Zmudzinski","Gromov"
"McGann","Holders"
"Cooke","Eng Bridge Union"
"South","Italy"
"R Tanaka","NAITO"
"F. Umboh","Gorontalo"
"Montanari","Italy"
"Wiankowski","HOME"
"Gumby","New South Wales"
"wangjian","Jinrongjia"
"Dubinin","Russia"
"Sumit M.","J.P.Goenka"
"John Yeh","Jetox"
"wawn","ACT"
"D Greenwoo","North Ire"
"suhas","Radhey"
"Jurek","KATER"
"Nawrocki","Warsow 1"
"Helness","Rogaland 1"
"Chmurski B","Poland"
"ARNIM","Germany"
"Gotard","Piekarek"
"Ke JW","Wellwiss"
"Tao JH","Bei Di Ke"
"Sundelin","Sweden"
"Litman","Team 2"
"Walker D","Scotland"
"WLADOW","BAMBERGER"
"Sen","Noname"
"SAID","PAKISTAN"
"KIRAN N","FORMIDABLES"
"Bird","HOFFMAN"
"Verbeeck T","Amsterdam"
"nystrom","Mahaffey"
"Rogi","Bank Mandiri Dist X"
"Zmudzinski","RUSSIA"
"SCHALTZ D","SCHALTZ"
"Stansby","WELLAND"
"Rase","CROATIA1"
"BOREVKOVIC","CRO JT1"
"MACSKASY","HUNGARY"
"OZBEY","CARETTA INT."
"Lankveld","Netherlands Red"
"Bakhshi","Ireland"
"ZMUDA","CONNECTOR"
"S MAGNUSSO","SWITZERLAND"
"T Nunn","Courtney"
"Nybo","Norway"
"MARTENS","MONACO"
"Braccini","Pisa"
"BASILE","ASD REGGIO EMILIA"
"Knap","Lithuania/Poland"
"Fornaciari","Reggio Emilia"
"GROMOVA Vi","RUSSIA"
"FORRESTER","England"
"Ekeblad","Berkowitz"
"Papakyria","Greece"
"Wheeler","SULGROVE"
"Albert","Debonaire"
"Teramoto","Japan Tajima"
"mackenzie","Northern Ireland"
"Huang","Nan-Yuan"
"Schaltz","Blakset"
"Kowalczyk","Team2"
"Carroll","CBAI"
"Nyberg","FINLAND"
"VilasBoas","CHAGAS"
"Helgemo","MELTZER"
"Falay","Turkey"
"Jarvis","Auckland"
"Nunes","Italy"
"BERNSTEIN","SULGROVE"
"M. Wiacek","PETRO"
"TIMLIN","Ireland"
"M Elinescu","Germany"
"SCHALTZ","Denmark"
"Kearse","GREENBERG"
"Li SY","Shou Chuang"
"Noble","Otvosi"
"Helgemo G","Norway"
"SOMERS","SQUEEZE I"
"Wijs","Ned White"
"Wolff","Lynch npc"
"Fay","CHUBUKOV"
"Lema","d'Orsi"
"Mraz","HUNGARY"
"Chagas","D'Orsi - Chagas"
"Zhang Yu","Huan Qiu Shi Bao"
"A.PAPARO","ITALY RED"
"KANETKAR","AUSTRALIA"
"F.Sambuaga","PU Minsel"
"D. Mossop","4 Trefles 1"
"Breed","MOSS"
"Wolpert","CANADA"
"Lin XQ","Sheng Yuan"
"MANARA","Italy"
"SEALE","England"
"P O'BRIAIN","CBAI"
"McGann","Holland"
"Weinstein","Lee"
"Guerra ","Nobel - Primavera"
"Porter","Milne"
"Willard","FRANCE"
"Munawar","DKI JAYA"
"Katz","Jacobs"
"Wang Kui","Heng Sha"
"Mouiel H","ZIMMERMANN"
"PRICE","ENGLAND"
"Nickell N","Nickell"
"Koistinen","Koistinen"
"WLADOW. E","GERMANY"
"Aa","Norway"
"GAWEL","POLAND"
"Spiridonov","Vorobei"
"DUBININ","BRIDGE CLUB REAL"
"Brkljacic","MOO YORK NIX"
"tfshgcy","CGU"
"Kapagiani","Papakyriakopoulos"
"WOOLDRIDGE","USA-2"
"Malmstrom P","(SW"
"Ju CC","Beijing Copia"
"PALAZZO","ARGENTINA"
"HELNESS","Monaco"
"v.Prooijen","BC 't Onstein 2"
"B Barbosa","Brasil"
"PADON ","ISRMANY"
"Kirmse","Germany"
"A. Griger","DEAC-Miskolc"
"BILL","NORTH SULAWESI"
"Zmudzinski A","POL"
"Pinto","Miguel Sousa Guedes"
"NUNES","ZIMMERMAN"
"BATES","USA2"
"P. Gosney","Australia"
"Delle Cave","TEAM BLU"
"Verhees","Joel"
"M. JOHANSS","Sweden"
"Dechelette","France"
"Hoffman","ACT"
"Beltagy","Wadi Degla"
" Passell","Scheinder"
"Peirao","Peirao"
"S.Gupta","India"
"Xiao HY","Taiwan Weiqun"
"Goncalves","Spain"
"BEKKOUCHE","DENMARK"
"BARANTIEV","Chateau Rossenovo"
"Multon","MONACO"
"BABSCH And","AUSTRIA"
"Casen","USA"
"THORESEN","NORWAY"
"Shao ZJ","Lu Cheng"
"CRONIER","FRANCE"
"WESTRA B","NETHERLANDS"
"Von Seida","Lombard 2"
"VERSACE","ITALY-ANGELINI"
"Araszkiewi","EKO AL"
"L'ECUYER Nicolas","CANADA"
"Thomson","Marston"
"Brunner","Team 1"
"Zheng YL","Jie Fang He Ji"
"Sikora","Warsaw"
"Meyer","Salama"
"Kowalski","Pacyfic"
"S. STOCKDA","England"
"De Falco","Angelini TCP-Bove"
"T.Rogi","Bank Mandiri Mnhasa"
"Helle","Helle"
"ZACK","BAREKET"
"SANDQVIST","DE BOTTON"
"Angelini","TC PARIOLI"
"Wolanski","Scotland"
"Gautret","DELFOUR"
"Cruzeiro","Portugal"
"SJOBERG","SWEDEN"
"SAELENSMIND","Norway"
"L.IMAMOGLU","NONAME"
"Armstrong","England"
"Holland","ENGLAND"
"Tuszynski","Marek"
"Kelly","ROI"
"CULLIN P","VENTIN"
"OLANSKI","VITAS"
"M Karamanl","Papakyriakopoulos"
"EFRAIMSON ","ANNA"
"Gulyas","Szalay"
"Nevena Senior","Wolfarth"
"Fleury","BC Clichy 2"
"Sandqvist","Byrne"
"TRENDAFILO","BULGARIA"
"GAWRYS Piotr","POLAND"
"BUSSE P","BUSSE"
"Wolpert","Spector"
"Gu ZH","Pudong"
"Paul Soloway","Nickell"
"Goncalves","Barcelona"
"Zapadinski","West"
"Guillaumin","Delfour"
"A Padhye","Manyawar"
"MCGARRY","SULGROVE"
"Winkler","Hungary"
"Janz","Chagas"
"Delivera","Canberra"
"Van Prooij","Jansma"
"DARBO mme","PAYEN"
"Sasek","PASANCI"
"Chen PX","Shen Jiu"
"Ananijev","CROATIA"
"Soulet","PAYEN"
"Wolpert","Kranyak"
"Schifko","Austria"
"Lin YF","Jiang Su"
"","Zhang Xiao Feng"
"T.Bakkeren","BC 't Onstein 2"
"M Branco","Chagas"
"Mas Pran","BANTEN"
"REISIG","CAYNE"
"Pinguello","Resegone LC-Bassini"
"G.Duboin","Italy 1"
"Dumazet","Adad"
"North","GRENSIDE"
"P.Huang","Yer Bros"
"Y N RAO","Kaushik"
"Caspersen H","Denmark"
"Stirbu","ROMANIA"
"RAAGARWAL","Tolani Shipping Ltd"
"Andreev","Team 2"
"YQ LIU","CHINA GLOBAL TIMES"
"Brum.P","Brum.P."
"Gromow","SYGNITY"
"Gustawsson","Apteker"
"Jorgensen","ICELAND"
"Lanciano","LOY"
"McGann","Holders (ROI)"
"Westra","Croatie"
"Kozyra","NEFKA"
"Stephens","42"
"Gower","South Sweden"
"Gitelman","Ekeblad"
"WORTEL","SWEDEN"
"Morgantini","Eidi"
"","de Botton"
"PAZUR","HOME"
"Siniscalco","Italy"
"Naufal","NSW"
"P.SHRIDHAR","India Blues"
"Uhlman","Germany"
"Chambers","Casen"
"GUOBA","CANADA"
"CASEN","SCHWARTZ"
"HETZ","ISRABEL"
"Chai","Singapore"
"SUBASH GUP","Formidables"
"Quantin","ZIMMERMANN"
"Zhao","Fu-Zhao"
"Stoltz","Lusky"
"Senguler","BESIKTAS - TURKEY"
"Yang Lixin","China LongZhu Open"
"J.Kranyak","USA Kranyak"
"Dai JM","China"
"Wold","Diamond"
"Jassem","CHALENGERS"
"KIERZNOWSK","CSTO - POLAND"
"Pessoa","PORTUGAL"
"Koralchuk","KIEV"
"Donny Chen","Nan-Yuan"
"BABAC Mine","TURKEY"
"Cerreto","BC. MI. - D'AVOSSA"
"Sobolewska","Team 1"
"Markovics","Neill"
"MIHOV","Bulgarya"
"Sewrajsing","Guadeloupe"
"P Hackett","Waterlow"
"FISCHER","Austria"
"Moran","CBAI"
"Rozanski","MAZURKIEWICZ"
"Shaham Eran","Israel"
"V Isporski","BULLGALIAN ALL STAR"
"STARKOWSKI","WROCLAW"
"Davidsen","Norway"
"NUNES","Weed - npc"
"Robin Klar","Hamman"
"Franco","ITALY"
"Munawar","Ind National"
"krupowlcz","Poland"
"MENG Glori","CHINESE TAIPEI"
"Shan Sheng","Bei Di Ke"
"Weischel","Goldman"
"Morgan","HARRIS"
"LEWIS MARC","CROATIA"
"Zhang XF","Xin Yuan"
"Sun Ming","Beijing Ladies"
"Hughes","Chadwick"
"bertens","netherland"
"Howard","Chan"
"Koistinen","Finland"
"Verhees","Ekeblad"
"Dagher","El Rabwa Club (A)"
"Gawrys","PRATERM"
"Wu","Thailand"
"DARKADAKIS","SYKIOTI"
" M Bilde","Auken"
"Thatch","Spain"
"Dumbovich","Hungary Senior"
"P Branco","Camacho"
"ACAR","GEZI"
"Mahmood","Team Lavazza"
"G. JORGENS","Denmark"
"Lasserre","Bauch"
"Pszczola","Otvosi"
"M Courtney","Courtney"
"Vriend","Team 2"
"Z.FADLI","ACEH"
"Fantoni F.","ZIMMERMANN"
"L.Naber","Your name?"
"BANERJI","TEXAN ACES"
"Shi","CHINA SMEG"
"Satya","India National"
"P Hackett","Hirst"
"Dobrin","KIRILENKO"
"Leslie","Scotland"
"fucik","AUSTRIA"
"Kopecky","Czech Rep"
"McGowan","McGowan"
"Laltu","Dhampur Sugar Mills"
"MATUSHKO","RUSSIA"
"ROTARU","ROMANIA"
"Askalani","El-Ahly Club"
"VERSACE","I Parioli"
"Fazli","Pakistan"
"D. Neuwmann","Australia"
"Mouiel","ZIMMERMANN"
"Nehmert","ALERTPLUS"
"NOSATZKI","ISRAEL"
"Sbarigia","Italy"
"D. CLERKIN","HOLLMAN"
"De Wijs","Orange White"
"FANTONI Fu","ITALY"
"Kahler","ACT"
"Ronnie Rubin","Ekeblad"
"Delivera","Nixon"
"R Burns","NIBU"
"Reiff","Resegone LC-Bassini"
"SONTAG","SULGROVE"
"Hoderova","Prague"
"Zhang YL","China"
"Delle Cave","Fantonakis"
"M Jones","Liggins"
"Cullin P","SWE"
"Cayne","CAYNE"
"Manno","Catania - Failla"
"Dwyer","Kranyak "
"A.FRANCHI","ITALY RED"
"JOHNSON Da","BELGIUM"
"Jassem","Martens"
"ABE Hiroya","JAPAN"
"Franco","Italy"
"Martens","Vuerst"
"Kalita","ASKO TECH Warsaw"
"Muller","Croatia"
"McDonald","Australia"
"Kilani.A","FRANCE"
"FRANCHI","Italy Red"
"Narkiewicz","EKO AL"
"H.PRIANOV","KEPULAUAN RIAU"
"Clench","Wales"
"Almirall M","Spain"
"Volcker","France"
"Berteau","Amoils"
"","Europe"
"J. LI","China"
"Fantoni","TC Parioli ITA"
"howardling","FJU"
"Mayer","Philippines"
"Allix J.","Allix"
"Kokish","Not the Empire"
"CABANES","DELFOUR"
"tessieres.","France"
"Balicki","SIGNITY AZS PWR"
"South","Ojasta ahoon"
"KAMIL","USA 1"
"Voronkin","FAKEL"
"KOISTINEN","FINLAND"
"Klinger R","Australia"
"Niekawa","Japan"
"Christian","SCHALTZ - DENMARK "
"SAELENSMIN","Strul"
"Ju Hackett","De Botton"
"Sandqvist","Sandqvist"
"Figueiredo","D'Orsi - Chagas"
"Thomson","Canberra"
"Cook","Team 2"
"Baroni","Reggio Emilia"
"Petersson","Sweden"
"Lutostansk","ARASZKIEWICZ"
"GULEVICH","RUSSIA"
"KF Mak","AIA"
"Milovic","BOSNIA"
"Ashok Goel","Dhampur Sugar Mills"
"Ellison.M","Scotland"
"HOWARD","Howard"
"MAZZADI","LANCIANO"
"M Agouw","Bank Mandiri Manado"
"P WALLER","Griffey"
"Boegem","NETHERLANDS"
"I HERBST","ISRMANY"
"Dyakov V","Bulgaria"
"GIERULSKI Boguslaw","POLAND"
"Gero","Gero"
"Hayes","LATVIA"
"Lasut","Indonesian Senior"
"Fonseca","BRAZIL"
"ROSENTHAL","ISRAEL"
"Yang HJ","Li Shu Yuan"
"GWINNER","ZURICH ENGE"
"He ZY","Jiangsu"
"MIHOV V","Bulgaria"
"Muliar And","Chass"
"Tan","JAPAN"
"VERHEES","NETHERLANDS"
"Foley","England"
"Gruevski","Macedonia"
"O'Keefe","ROI"
"Paoluzi S","ITALY"
"B.Enoch","WEST BORNEO"
"GROETHEIM ","NORWAY"
"COLOTTO","PATANE'"
"Manoppo","Yeh Bros"
"Macdonald","Scotland"
"Pepsi","Altshuler"
"C.LUSTIN","France"
"Novosel","BiH"
"Baroni","REGGIO EMILIA"
"Schollaar","De Lombard"
"Lall","USA BLUE"
"Majdanski","EKO-AL"
"Ricciarell","ITALY"
"VERSACE. A","ITALY"
"Herry","Riau"
"M Rice","USA2"
"Long Hao","Mei Kuang"
"ROMANIN","PADOVA BR. S.S."
"Mejane","Dupraz"
"KANDEMIR","Turkey"
"Andersen","AURORA"
"SAAID","EGYPT"
"Ueland","Hist"
"Darbo N.","Wael"
"C.D'Ovidio","France Lady"
"Chagas.G","Chagas"
"Punit G","Arun Jain"
"Skjetne","Norway A"
"KHAN ","Pakistan"
"Zhao Jie","Ke Bi Ya Club"
"Hayes","Wellington"
"LEVY A-F","ALAIN LEVY"
"Jacobus M","Milner"
"SHAH C","Kenya"
"HELMICH","NETHERLANDS"
"Khioupenen","Kirilenko"
"Arlovich","LITHUANIA"
"Wu SX","Shanghai"
"THORVALDSSO","Iceland"
"Holland","PD Hackett"
"Lavings","LEIBOWITZ"
"F Bakkeren","Team 1"
"GROSSACK","USA1"
"M.SHEDEED","Egytp"
"Pasman","NETHERLANDS"
"RAHELT","DENMARK"
"Golebiowsk","POL RUCH AZS PWr"
"Inot","Leroumain's boys"
"Zahariev","FENIX"
"P.Schaltz","Schaltz"
"FOSSI","Firenze"
"B SIMONSEN","FAROE ISLANDS"
"J Hoffman","HOFFMAN"
"NARASIMHAN","Narasimhan"
"Kang Meng","Shou Chuang"
"Fitzgibbon","Ireland"
"Liu Jun","Huochetou"
"Bambang","West Sumatra"
"WATULINGAS","INDONESIA"
"CAMBOURNAC","MOROCCO"
"WEINSTEIN","JACOBS"
"Rudakov","Team 1"
"De Livera","Canberra"
"Brethes","Reunion"
"Gill","Nagy"
"Ucan O","TUR"
"D WOLPERT","CANADA"
"Zhong Fu","China"
"Grumm I","AUT"
"Liu Yiqian","China"
"Franklin","Cook"
"K Moses","NSW"
"Griffin","Chadwick"
"Basaran B","TUR"
"Kovachev","Spring Fours"
"G.Polet","Belgium"
"Skrzypczak","HOME"
"Y.Nakamura","Japan"
"Liu YQ","Zhejiang Ladies"
"von Arnim","Ludewig"
"Mondigir","NORTH CELEBES"
"Burgess","Oz One"
"Marsal","Germany"
"MECKSTROTH","MAHAFFEY"
"Kalita","EW"
"Bert.Polii","Indonesia"
"BOMPIS","France"
"Verhees","Netherland"
"STEEL","Scotland"
"TEODORESCU","ROMANIA"
"Prooijen","THE NETHERLANDS"
"NOVRY","NORTH SULAWESI"
"Czyzowicz","L"Ecuyer"
"Jason Hackett","ENGLAND"
"SLEMR J","PS CZ"
"Yang","Pearl River"
"Woolsey","Koneru"
"Zatorski","EW"
"Margiotta","Fici"
"Sandqvist","England"
"Lindkvist M","Sweden"
"PIETRASZEK","PIETRASZEK"
"Sunit","FORMIDABLES"
"Moss","Amoils"
"Guy","Scotland"
"Lea","Arhus"
"Gromov","RUS BC Real"
"Kimiko E","International Team"
"FALAY","TURKEY"
"Fuglestad","Norway"
"Eisenberg","SOULET"
"aa terje","Norway"
"FORRESTER","ENGLAND"
"DUBOIN","ALLEGRA "
"WESTRA","NETHERLANDS"
"Beling","CONSUS"
"de Pagter","Netherlands Red"
"Chiu","Chinese Taipei"
"Some
"brenner d.","Brazil"
"Neve O","Belgium"
"T. Weigkri","Austria"
"FANTONI","ITALY"
"PAGANI","MEXICO"
"J Grenthe","France"
"Hristoiv","BULGARIA"
"Michielsen","BERTHEAU"
"Herbst I","Israel "
"Miao XB","Shanghai Ling Mu"
"waso","Onstott"
"B Lalanne","Lalanne"
"Schaltz M","DEN"
"","GERMANY"
"YAVAS Dile","TURKEY"
"thomaspig","NTHU"
"ASTORE","Italy 1"
"Mayer","NEW ZEALAND 1"
"","Scotland"
"Manno","ITALY RED"
"Howard","Australia"
"Nelson","Team 2"
"BROGELAND","NORWAY"
"LEVY Alain","LAFFINEUR"
"ALIX","NEVE"
"SPILJAK","Croatia"
"Westra","LOMBARD BC"
"Sontag","Goldman"
"Norris","Denmark"
"PIKUS","POLAND"
"C Gibbons","New Zealand"
"Courtney","Markey"
"Harasimowi","POLAND"
"Chaugny","France Girls"
"Woolsey","Kasle"
"Rothwarf","Sher"
"Liu Yan","China"
"D.Gold","NEDUK"
"ENGEL B","ALERTPLUS"
"Naito","Japan 2"
"LEON","SPAIN"
"Allana","Pakistan"
"Balcombe","Thurston"
"Huang P","Chinese Taipei"
"x12345x","CCUB"
"Salomone","DELFINO"
"Cabanes","Adad"
"Wawn","ACT"
"Jassem","TEAM1"
"Zhou JH","Qi Zhong Club"
"Brede","Poland"
"Kontomitro","GREECOURA"
"North","SWITZERLAND"
"Li JH","Jiangsu Qiaoxie"
"Sacul","INDONESIA"
"Li Jie","Zhongjian"
"Wellend","Welland"
"Hamman","USA"
"Cormack","Auckland"
"BOMPIS","HOST FRANCE"
"GOLDBERG","SCOTLAND"
"NAB","NETHERLANDS"
"JOHNSON","BELGIUM"
"WORTEL","NL WOMEN 1"
"LILLEY","AUSTRALIA"
"Bessis.O","FRANDCE"
"Eijck W","Netherlands"
"Olech","NEFKA"
"KARAMOY","DKI JAYA"
"Abouchanab B","Switzerland"
"STEFANOV J","BULGARIA"
"Meyer","MARI"
"LENGY","ISRAEL"
"Schermer","LYNCH"
"Kiema O","Finland"
"Wooles","Rothfield"
"B TODI","Sree Cement"
"D'AVOSSA","SABBATINI"
"P Newell","Down Under"
"Eskizara","Turkey"
"Bonev","Rosenovo"
"Balicki","Russia/Poland"
"Kychanov","GUDOK-2"
"SOKOLOW","USA"
"Cronier Be","France"
"SCHWARTZ","USA"
"Treossi","San_Marino"
"CHIU","USA BLUE"
"NIKOLENKOV","SWITZERLAND"
"Bessis O","FRA"
"Punch","McGowan"
"Saelensminde","Hauge"
"Fallenius","USA"
"Bilski","Sydney 5"
"Nunn","Horwitz"
"AMARAL","Brasil"
"I. HERBST","Israel"
"G LASSERRE","FRANCE"
"J LEVIN","USA2"
"MULLER","NEDERLANDS"
"Godfrey","Team 1"
"Happer","England"
"Passell","Narasimhan"
"Y.Atabey","Turkey"
"Auken","Europe"
"Nowosadzki","HOME"
"Pilipovic","CROATIA"
"HELNESS","Erichsen"
"Greenland","Wales"
"Kirchhoff E","Netherlands"
"Jansons U","Latvia"
"Debunin","Gromov"
"Terraneo S","TERRANEO"
"Francesche","Paris ECE"
"Del'Monte","USA Cheek"
"Harada","JAPAN Shy Ant"
"LINDQVIST","TOPBRIDGE BC"
"Fu","Chang"
"George Rosenkranz","Rosenkrantz"
"Hendrawan","Indonesia Senior"
"Lauria","Italy II"
"Fishpool","FRANCE"
"Buras","Warsow 1"
"Jacobs","Team 1"
"Toffier","FRANCE"
"Verhees","Strul"
"M O'Briain","Republic of Ireland"
"Ferraro","Torino Alegra"
"Jim Mahaffey","Mahaffey"
"STAS Jacqu","BELGIUM"
"BERTHEAU K","SWEDEN"
"J. Levin ","USA"
"Brogeland","Bridge i Norge"
"Bakkeren T","Croatie"
"KHIOUPPENE","KIRILENKO"
"C.C.Tsai","China"
"Wilkinson","NSW"
"Pilch","TEAM 1"
"Vinciguerr","Bessis"
"PEREZ","FRANCE"
"Wang YH","Shiji Changda"
"G Morin","New Caledonia"
"Feitelsen","Hoffman"
"Avon","Avon"
"Ramondt","Lomard 1"
"Tishler","Richman"
"Wijs","Netherlands"
"Sam Lev","Rosenkrantz"
"Bertens","BC 't Onstein 2"
"Lew Mathe","USA"
"Kennedy","Westheimer"
"NEWELL","ROI"
"SANDQVIST","England"
"zmudzinski","Computerland POL"
"ZIMMERMANN","Monaco FM"
"Scott","Rothfield"
"S.Machar","Sunil Machar"
"A_Munteanu","ISRAEL"
"meltzer","Meltzer"
"P. Magyar","Elastron"
"PangKerego","Indonesia"
"Dehaye","DEHAYE"
"Groetheim","NORWAY"
"Jiang Tong","Xin Yuan"
"","Italy"
"Sadek","Onstott"
"OHASHI","JAPAN"
"Lesniewski","DWORAN"
"Hop","Team 1"
"O'Neill","Ireland"
"Pattaccini","Villa Fabbriche"
"Liu ST","Hubei"
"LAURIA","ITALY"
"BROWN","AUSTRALIA"
"PUNCH","Scotland"
"A.Walsh","Chinese Taipei"
"STANSBY","EKEBLAD"
"Hart","Trinidad & Tobago"
"Quantin","BOMPIS"
"Mayer","Reid"
"Wojcieszek","Poland U20"
"Schwartz","SCHWARTZ"
"LIAQAT","PAKISTAN"
"South","BTU-U"
"KLUKOWSKI","CONNECTOR POLAND"
"BERKOWITZ ","USA 2"
"C Lalanne","Salliere"
"ROSENBERG","USA1"
"Eythorsdot","USA2"
"M. KAMIL","USA 1"
"Ron Rubin","EKEBLAD"
"GRANT Alan","NEW ZEALAND"
"D Berkowitz","USA"
"GRANT","New Zealand"
"canonne.m","France"
"Michaud-La","MICHAUD"
"Pimenta","Manuel Oliveira"
"RAMONDT Vi","NETHERLANDS"
"Del Monte","Grue"
"Fu XM","Pu Fa"
"Goldenfiel","Team 2"
"RAVENNA Pa","ARGENTINA"
"Helgemo","Strul"
"D.von ARNIM","Germany"
"WANG L","CHINA 1"
"GOLIN","ITALY"
"Lin Xi","Jin Hui"
"d'Avossa","Italy"
"K Balcombe","Canada"
"Kiema","Koistinen"
"M.Reid","Doun Under"
"subrata","MANYAWAR"
"Kulchycky","Ireland"
"Angeleti","Budkin"
"QUANTIN","FRANCE"
"Mill","Markey"
"Tobing","Mitra"
"Kowalski","ARASZKIEWICZ"
"Corry","N.Ireland"
"KAMIL","Fleisher"
"TRAPP","Sweden"
"Lu ZJ","Sheng Yuan"
"Ahmadi","EGYPT"
"Zhang Yu","HKHZ Connection"
"Lall","Deutsch"
"AUSTRIA F","AUSTRIA"
"BROCK Sara","GREAT BRITAIN"
"Zoric","CROATIA1"
"West","Brasil"
"GROMOV","Russia"
"Hantveit","Bergen Akademiske"
"Reps","Ludewig"
"NUNES","Meltzer"
"Di Bello S","Villa Fabbriche"
"Lasserre","de Monval"
"Reiplinger","Salama"
"TUEJE","DKI Jakarta"
"HARTONO","Indonesia"
"BARANTIEV","CHATEAU ROSSENOVO"
"F.Karwur","Indonesia"
"ZORIC","Croatia"
"D.Chen","Japan"
"Nunes","TC PARIORI"
"Sukamto","Djarum 2"
"Xue Yong","Ning Bo"
"MORATH","Sweden"
"SOFIOS M","SYKIOTI"
"Dauwe","SQUEEZE"
"WEIGKRICHT","AUSTRIA"
"Thrower","England U20"
"AA","HEIMDAL BK"
"Dixon","President's Team"
"Von Arnim","Fireman"
"Fuller","Havas"
"P.Marston","Australia"
"HOMME M.","Mixen Norway"
"Jin JS","Ke Bi Ya Club"
"Sompotan","North Minahasa Plus"
"L.Ortega","Venezuela"
"Tamura","JAPAN Kinki"
"ATTANASIO","SABBATINI"
"HOMME E.","MIXEN NORWAY"
" M","Chagas"
"Kroes","Team 2"
"Bessis Th.","Gaviard"
"Macura","Czech Republic RED"
"JAGGER","HINDEN"
"DUFRAT K","CONNECTOR"
"Nagy","Oz-One"
"Chieh Kuo","Chinese Taipei"
"ANDERSSON ","SWEDEN"
"NAKAMARU-P","SCOTLAND"
"Baze","MAHAFFEY"
"NEWTON Shi","NEW ZEALAND"
"ZAWISLAK. ","POLAND"
"Romanski",""
"POCHINI","PATANE'"
"Shore","USA2"
"Moueil","france"
"HAMPSON","O'ROURKE"
"Wang Hongl","CHINA Women"
"Hackett Ju","England"
"Baghetti","BO - Tamburrini"
"Petkov","BULGARIA"
"Naito","NAITO"
"GIUBILO","ANGELINI"
"Shen Cih Kuo","Chinese Taipei"
"Z. Nagy","Australia"
"Dubinin","Gromov"
"Perlman","Moss"
"Hung","Chinese Taipei"
"Yoshida","Aces & Deuces"
"Tica","BOSNIA"
"DRAGIC M","Scotland"
"ZMUDZINSKI","POLAND"
"Jones","N.Ireland"
"Lasserre","Adad"
"Stretz","Avon"
"Kychanova E","RUS"
"K.R.Vennka","India"
"Casen","Schwartz"
"Kater","Nefka"
"Duricic","SERBIA"
"J. Pszczol","Mixed"
"Gaspar","Neill"
"E Ginossar","Israel"
"v.d Neut","BC 't Onstein 1"
"de Wijs","Netherland"
"Arnim","GERMANY"
"SHEN (1)","CHINA"
"Stamatov","VAN HELSING"
"Newell","ROI"
"Sutherlin","KASLE"
"C Jagger","Team 1"
